"№","Наименование","Ед. изм.","Сухие в-ва","Калорийность"
"382","Кукуруза консервированная или с/м","кг","13","57.2"
"383","Кукурузная крупа","кг","86","330.4"
"384","Кукурузные хлопья Corn Flakes","кг","97","398.1"
"385","Кулинарный жир","кг","99.90000000000001","899.1"
"386","Кумкват","кг","19.2","78.90000000000001"
"387","Кунжут (семена)","кг","91","564.7"
"388","Кунжут обжаренный черный","кг","93","643"
"389","Кунжутная паста JNP ","кг","95","680.7"
"390","Купаты Восточные с гранатом","кг","41","261"
"391","Купаты Говяжьи","кг","58","399"
"392","Купаты Кейптаун","кг","36","226"
"393","Купаты Классические","кг","50","375"
"394","Купаты Королевские","кг","50","367"
"395","Купаты Куриные с беконом","кг","28.4","158.4"
"396","Купаты Марроканские ","кг","50","367"
"397","Купаты Ньюмаркет","кг","52","375"
"398","Купаты Тулузские свинина и говядина","кг","50","367"
"399","Купаты Французские","кг","30","167"
"400","Купаты бефстроганов","кг","49","363"
"401","Купаты итальянские острые","кг","50","367"
"402","Купаты куриные","кг","52","360"
"403","Купаты куриные с базиликом","кг","50","347"
"404","Купаты с/м","кг","34","261"
"405","Купаты свиные с моцареллой","кг","50","367"
"406","Купаты свиные с трюфелем","кг","51","371"
"407","Купаты чагос (харисса)","кг","48","344"
"408","Курага (Абрикосы без косточки)","кг","79.8","240.8"
"409","Куриная грудка копченая без кости","кг","33.8","137"
"410","Куриные кости, обрезь","кг","0","72.8"
"411","Куриные крылышки в панировке с/м","кг","41.1","197.9"
"412","Куры Грудка с костью, свежемороженная","кг","27","113.1"
"413","Куры Мышечный желудок (цыплят бройлеров)","кг","26.7","122"
"414","Куры Мякоть без кости","кг","33.4","184.6"
"415","Куры Окорочка","кг","33.4","184.6"
"416","Куры Печень (цыплят бройлеров)","кг","27.1","121.7"
"417","Куры Сердце","кг","28","159.1"
"418","Куры Филе грудки","кг","27","113.1"
"419","Куры Цыпленок","кг","38.1","241.2"
"420","Куры крылышки","кг","33.4","184.6"
"421","Куры целые (тушки 1 категории)","кг","38.1","241.2"
"422","Кус кус","кг","94","358"
"423","Лаваш армянский, тонкий","кг","72.59999999999999","270.3"
"424","Лайм","кг","12.5","16.5"
"425","Лакедра (Желтохвост) филе с/м","кг","21","111"
"426","Лактат Кальция (Calcium lactate)","кг","90","240"
"427","Лангустины с/м","кг","21.6","96.40000000000001"
"428","Лапша Соба","кг","89.7","362.4"
"429","Лапша Фунчеза","кг","84.59999999999999","338.4"
"430","Лапша гречневая","кг","92.09999999999999","348.5"
"431","Лапша из соевых бобов зеленая","кг","84.59999999999999","338.4"
"432","Лапша пшеничная Удон","кг","90.90000000000001","409"
"433","Лапша яичная","кг","90.90000000000001","409"
"434","Лед пищевой","кг","0","0"
"435","Лепешка Тортилья","кг","60.8","280.2"
"436","Лещ крупный и средний вяленый","кг","61.5","221.1"
"437","Лещ свежий неразделанный","кг","22.3","105.3"
"438","Ликер Амаретто","л","52.6","108.8"
"439","Ликер Бейлис","кг","41","229"
"440","Ликер Галлиано","л","72","97.59999999999999"
"441","Ликер Калуа","л","52.6","192"
"442","Ликер Кокосовый","л","52.6","80"
"443","Ликер Куантро","л","72","97.59999999999999"
"444","Ликер Мятный","л","32.6","131.2"
"445","Ликер Самбука","л","72","140"
"446","Ликер Сливочный","л","55.6","236.1"
"447","Ликер из плодов личи","л","52.6","131.2"
"448","Ликер фруктовый","л","52.6","131.2"
"449","Лимон","кг","12.5","16.5"
"450","Лимонад","кг","10.2","40.9"
"451","Личи плоды свежие","кг","18.9","61.7"
"452","Лосось консервированный в с/с","кг","28.7","153.4"
